NIFTY TOTAL MARKET,NIFTY 50,NIFTY BANK,NIFTY NEXT 50,NIFTY AUTO,NIFTY FMCG,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PSU BANK,NIFTY PRIVATE BANK,NIFTY REALTY,NIFTY HEALTHCARE INDEX,NIFTY CONSUMER DURABLES,NIFTY OIL & GAS,NIFTY COMMODITIES,NIFTY INDIA CONSUMPTION,NIFTY ENERGY,NIFTY INFRASTRUCTURE,NIFTY INDIA DEFENCE,NIFTY INDIA TOURISM,NIFTY CAPITAL MARKETS,NIFTY EV & NEW AGE AUTOMOTIVE,NIFTY MOBILITY,NIFTY RURAL
J&KBANK,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDARMFIN,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,,,,,,,,,,,,,,,,,,,,,,,,,
TDPOWERSYS,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHBANK,,,,,,,,,,,,,,,,,,,,,,,,,
MARICO,,,,,,,,,,,,,,,,,,,,,,,,,
NUVAMA,,,,,,,,,,,,,,,,,,,,,,,,,
JSL,,,,,,,,,,,,,,,,,,,,,,,,,
GODFRYPHLP,,,,,,,,,,,,,,,,,,,,,,,,,
HSCL,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,,,,,,,,,,,,,,,,,,,,,,,,,
HFCL,,,,,,,,,,,,,,,,,,,,,,,,,
LTM,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESTARCO,,,,,,,,,,,,,,,,,,,,,,,,,
OFSS,,,,,,,,,,,,,,,,,,,,,,,,,
INOXWIND,,,,,,,,,,,,,,,,,,,,,,,,,
CREDITACC,,,,,,,,,,,,,,,,,,,,,,,,,
GESHIP,,,,,,,,,,,,,,,,,,,,,,,,,
HBLENGINE,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,,,,,,,,,,,,,,,,,,,,,,,,,
LALPATHLAB,,,,,,,,,,,,,,,,,,,,,,,,,
SAILIFE,,,,,,,,,,,,,,,,,,,,,,,,,
